Index	File_Profile_name	UserName	Password	Target_Locale_Short	Source_File
Case_1	GOR_MBS_HTML	microsoftadmin	password	cs_CZ,da_DK,de_DE,el_GR,es_EM,es_ES,es_NI,fi_FI,fr_FR,hr_HR,hu_HU,it_IT,ja_JP,ko_KR,nl_NL,no_NO,pl_PL,pt_BR,ro_RO,ru_RU,sv_SE,tr_TR,zh_CN,zh_TW	TestMatrix\Others\Longevity\Files_HTML.txt
Case_2	GOR_MBS_DOCX2010	microsoftadmin	password	cs_CZ,da_DK,de_DE,el_GR,es_EM,es_ES,es_NI,fi_FI,fr_FR,hr_HR,hu_HU,it_IT,ja_JP,ko_KR,nl_NL,no_NO,pl_PL,pt_BR,ro_RO,ru_RU,sv_SE,tr_TR,zh_CN,zh_TW	TestMatrix\Others\Longevity\Files_DOCX.txt
Case_3	GOR_MBS_HTML	microsoftadmin	password	cs_CZ,da_DK,de_DE,el_GR,es_EM,es_ES,es_NI,fi_FI,fr_FR,hr_HR,hu_HU,it_IT,ja_JP,ko_KR,nl_NL,no_NO,pl_PL,pt_BR,ro_RO,ru_RU,sv_SE,tr_TR,zh_CN,zh_TW	TestMatrix\Others\Longevity\Files_HTML.txt
Case_4	GOR_MBS_DOCX2010	microsoftadmin	password	cs_CZ,da_DK,de_DE,el_GR,es_EM,es_ES,es_NI,fi_FI,fr_FR,hr_HR,hu_HU,it_IT,ja_JP,ko_KR,nl_NL,no_NO,pl_PL,pt_BR,ro_RO,ru_RU,sv_SE,tr_TR,zh_CN,zh_TW	TestMatrix\Others\Longevity\Files_DOCX.txt
Case_5	GOR_MBS_HTML	microsoftadmin	password	cs_CZ,da_DK,de_DE,el_GR,es_EM,es_ES,es_NI,fi_FI,fr_FR,hr_HR,hu_HU,it_IT,ja_JP,ko_KR,nl_NL,no_NO,pl_PL,pt_BR,ro_RO,ru_RU,sv_SE,tr_TR,zh_CN,zh_TW	TestMatrix\Others\Longevity\Files_HTML.txt
Case_6	GOR_MBS_DOCX2010	microsoftadmin	password	cs_CZ,da_DK,de_DE,el_GR,es_EM,es_ES,es_NI,fi_FI,fr_FR,hr_HR,hu_HU,it_IT,ja_JP,ko_KR,nl_NL,no_NO,pl_PL,pt_BR,ro_RO,ru_RU,sv_SE,tr_TR,zh_CN,zh_TW	TestMatrix\Others\Longevity\Files_DOCX.txt
Case_7	GOR_MBS_HTML	microsoftadmin	password	cs_CZ,da_DK,de_DE,el_GR,es_EM,es_ES,es_NI,fi_FI,fr_FR,hr_HR,hu_HU,it_IT,ja_JP,ko_KR,nl_NL,no_NO,pl_PL,pt_BR,ro_RO,ru_RU,sv_SE,tr_TR,zh_CN,zh_TW	TestMatrix\Others\Longevity\Files_HTML.txt
Case_8	GOR_MBS_DOCX2010	microsoftadmin	password	cs_CZ,da_DK,de_DE,el_GR,es_EM,es_ES,es_NI,fi_FI,fr_FR,hr_HR,hu_HU,it_IT,ja_JP,ko_KR,nl_NL,no_NO,pl_PL,pt_BR,ro_RO,ru_RU,sv_SE,tr_TR,zh_CN,zh_TW	TestMatrix\Others\Longevity\Files_DOCX.txt
Case_9	GOR_MBS_HTML	microsoftadmin	password	cs_CZ,da_DK,de_DE,el_GR,es_EM,es_ES,es_NI,fi_FI,fr_FR,hr_HR,hu_HU,it_IT,ja_JP,ko_KR,nl_NL,no_NO,pl_PL,pt_BR,ro_RO,ru_RU,sv_SE,tr_TR,zh_CN,zh_TW	TestMatrix\Others\Longevity\Files_HTML.txt
Case_10	GOR_MBS_DOCX2010	microsoftadmin	password	cs_CZ,da_DK,de_DE,el_GR,es_EM,es_ES,es_NI,fi_FI,fr_FR,hr_HR,hu_HU,it_IT,ja_JP,ko_KR,nl_NL,no_NO,pl_PL,pt_BR,ro_RO,ru_RU,sv_SE,tr_TR,zh_CN,zh_TW	TestMatrix\Others\Longevity\Files_DOCX.txt
Case_11	new 2010	erica2admin	password	de_DE,es_ES,fr_FR,it_IT	TestMatrix\Others\Longevity\Files_DOCX.txt
Case_12	html	erica2admin	password	de_DE,es_ES,fr_FR,it_IT	TestMatrix\Others\Longevity\Files_HTML.txt
Case_13	new 2010	erica2admin	password	de_DE,es_ES,fr_FR,it_IT	TestMatrix\Others\Longevity\Files_DOCX.txt
Case_14	html	erica2admin	password	de_DE,es_ES,fr_FR,it_IT	TestMatrix\Others\Longevity\Files_HTML.txt
Case_15	new 2010	erica2admin	password	de_DE,es_ES,fr_FR,it_IT	TestMatrix\Others\Longevity\Files_DOCX.txt
Case_16	html	erica2admin	password	de_DE,es_ES,fr_FR,it_IT	TestMatrix\Others\Longevity\Files_HTML.txt
Case_17	new 2010	erica2admin	password	de_DE,es_ES,fr_FR,it_IT	TestMatrix\Others\Longevity\Files_DOCX.txt
Case_18	html	erica2admin	password	de_DE,es_ES,fr_FR,it_IT	TestMatrix\Others\Longevity\Files_HTML.txt
Case_19	new 2010	erica2admin	password	de_DE,es_ES,fr_FR,it_IT	TestMatrix\Others\Longevity\Files_DOCX.txt
Case_20	html	erica2admin	password	de_DE,es_ES,fr_FR,it_IT	TestMatrix\Others\Longevity\Files_HTML.txt
