Index	JobID	TaskID	UserName	Password	workOfflineFileType	workofflineFileTypeOption	Downloaded_Location
Case_1	5420	463185	erica2all	password	1	x	TestMatrix\Others\Longevity_OfflineDownload\1_TER
Case_2	5420	463185	erica2all	password	2	x	TestMatrix\Others\Longevity_OfflineDownload\2_Offline_Translation_Kit
Case_3	5420	463185	erica2all	password	3	x	TestMatrix\Others\Longevity_OfflineDownload\3_TER
Case_4	5420	463185	erica2all	password	4	x	TestMatrix\Others\Longevity_OfflineDownload\4_RCR
Case_5	5420	463185	erica2all	password	5	x	TestMatrix\Others\Longevity_OfflineDownload\5_RCSR
Case_6	5420	463185	erica2all	password	6	x	TestMatrix\Others\Longevity_OfflineDownload\6_Post_Review_QA_Report
Case_7	5420	463185	erica2all	password	7	x	TestMatrix\Others\Longevity_OfflineDownload\7_TVR
Case_8	5420	463185	erica2all	password	8	1	TestMatrix\Others\Longevity_OfflineDownload\8_Bilingual_Trados_RTR_1_Default_SplitPerFile_NoIncludeRepeated
Case_9	5420	463185	erica2all	password	9	3	TestMatrix\Others\Longevity_OfflineDownload\9_Trados_7_TTX_3_SplitPer2000_NoIncludeRepeated
Case_10	5420	463185	erica2all	password	10	2	TestMatrix\Others\Longevity_OfflineDownload\10_OmegaT_2_Consolidate_NoIncludeRepeated
Case_11	5420	463185	erica2all	password	11	5	TestMatrix\Others\Longevity_OfflineDownload\11_Xliff_1.2_5_Consolidate_YesIncludeRepeated
Case_12	5420	463185	erica2all	password	12	6	TestMatrix\Others\Longevity_OfflineDownload\12_RTF_list_View_6_SplitPer2000_YesIncludeRepeated
Case_13	5420	463185	erica2all	password	13	4	TestMatrix\Others\Longevity_OfflineDownload\13_Xliff_2.0_4_SplitPerFile_YesIncludeRepeated
Case_14	5420	463185	erica2all	password	14	x	TestMatrix\Others\Longevity_OfflineDownload\14_RCR_With_CompactTags
Case_15	5420	463185	erica2all	password	15	x	TestMatrix\Others\Longevity_OfflineDownload\15_RCSR_With_CompactTags
